Date,Shift,Trailers Processed,Orders Dispatched,Stock Discrepancies,Team Size,Processing Time (mins)
01/05/2026,Day,9,245,1,5,48
02/05/2026,Day,8,231,0,5,45
03/05/2026,Night,10,267,2,5,52
04/05/2026,Day,9,255,1,4,46
05/05/2026,Night,11,289,0,5,54
06/05/2026,Day,8,224,1,5,44
07/05/2026,Night,10,271,2,6,55
08/05/2026,Day,9,248,0,5,47
09/05/2026,Night,11,292,1,5,53
10/05/2026,Day,8,230,0,4,45
11/05/2026,Night,10,276,1,5,52
12/05/2026,Day,9,252,0,5,46
13/05/2026,Night,11,298,2,6,56
14/05/2026,Day,8,227,1,5,44
15/05/2026,Night,10,273,0,5,51
